Row,Timestamp_ms,RawEEG,Delta,Theta,Alpha,Beta,Gamma,DominantBand
56,94872,19.9395,4.3958,-4.5811,-1.8717,-6.6792,-3.6912,Beta
57,94874,7.5762,1.3853,-6.8468,-3.8363,-11.1550,-4.4887,Beta
58,94878,2.0762,-1.7591,-8.8865,-5.2870,-12.7316,-3.8396,Beta
59,94882,0.1230,-4.7316,-10.4233,-6.0846,-12.1210,-2.6847,Beta
60,94898,-2.0586,-7.5652,-11.5792,-6.4637,-10.8720,-1.8767,Theta
61,94900,-5.4727,-10.3715,-12.5366,-6.6641,-9.8893,-1.5749,Theta
62,94900,-8.8555,-13.1476,-13.3275,-6.7436,-9.1239,-1.4549,Theta
63,94900,-12.7031,-15.9313,-14.0206,-6.7812,-8.6614,-1.4705,Delta
64,94901,-18.5156,-18.8783,-14.7958,-6.9424,-8.8911,-1.7764,Delta
65,94905,-27.0195,-22.1872,-15.8475,-7.3788,-10.0531,-2.3990,Delta
66,94909,-33.4414,-25.6469,-16.9110,-7.8038,-10.8393,-2.5690,Delta
67,94913,-32.0430,-28.6019,-17.3028,-7.6015,-9.3068,-1.5178,Delta
68,94927,-21.9297,-30.3930,-16.4489,-6.3549,-4.8326,0.5838,Delta
69,94927,-8.3828,-30.8605,-14.3903,-4.2619,1.0095,2.6112,Delta
70,94927,0.7812,-30.4989,-11.8403,-2.0828,5.3969,3.3184,Delta
71,94929,-0.3672,-30.2336,-9.8407,-0.7425,5.9389,2.1315,Delta
72,94933,-12.0156,-30.9088,-9.1746,-0.7834,2.2442,-0.4171,Delta
73,94936,-28.5625,-32.8235,-9.9281,-2.0443,-3.7738,-2.9923,Delta
74,94940,-44.4609,-35.7934,-11.6715,-3.9447,-9.6478,-4.5953,Delta
75,94944,-55.1875,-39.2841,-13.6848,-5.7527,-13.3139,-4.7683,Delta
76,94954,-58.3203,-42.6197,-15.2219,-6.8385,-13.6849,-3.5918,Delta
77,94957,-53.6719,-45.1800,-15.7191,-6.8349,-10.7614,-1.5170,Delta
78,94958,-45.2969,-46.7400,-15.1175,-5.8783,-6.0601,0.5087,Delta
79,94960,-38.2500,-47.5106,-13.8200,-4.4839,-1.7029,1.6444,Delta
80,94964,-38.4922,-48.1661,-12.6437,-3.4452,0.0134,1.2295,Delta
81,94969,-44.0000,-49.1460,-12.0235,-3.0759,-0.8413,-0.0281,Delta
82,94972,-48.4453,-50.3288,-11.7380,-3.0515,-2.2169,-0.8420,Delta
83,94976,-46.5781,-51.1787,-11.1713,-2.7543,-1.9161,-0.4246,Delta
84,94990,-40.5000,-51.3872,-10.0478,-1.9801,0.0627,0.6358,Delta
85,94992,-34.4219,-51.0210,-8.5282,-0.9491,2.3771,1.4359,Delta
86,94992,-32.4531,-50.4748,-7.0872,-0.1236,3.4103,1.3460,Delta
87,94992,-35.9688,-50.2141,-6.1936,0.1171,2.3903,0.3786,Delta
88,94995,-41.9531,-50.4099,-5.9321,-0.2007,0.1168,-0.7424,Delta
89,94999,-47.5938,-50.9865,-6.1165,-0.8195,-2.2102,-1.4547,Delta
90,95012,-49.4688,-51.5970,-6.3108,-1.3051,-3.2452,-1.3310,Delta
91,95014,-48.3125,-51.9908,-6.2524,-1.4541,-2.8753,-0.6918,Delta
92,95014,-43.8906,-51.9246,-5.7298,-1.1394,-1.1849,0.2660,Delta
93,95015,-36.5000,-51.2052,-4.6185,-0.3270,1.5416,1.3594,Delta
94,95018,-28.1875,-49.8267,-3.0092,0.8238,4.5204,2.2270,Delta
95,95022,-22.4375,-48.0679,-1.2728,1.9325,6.5116,2.4024,Delta
96,95026,-20.5156,-46.2820,0.2047,2.6710,6.8674,1.8718,Delta
97,95034,-23.3125,-44.8574,1.0648,2.7866,5.3373,0.7519,Delta
98,95034,-30.3438,-44.1024,1.0917,2.1904,2.2116,-0.6682,Delta
99,95038,-39.5781,-44.1269,0.3108,1.0162,-1.6538,-1.9551,Delta
100,95042,-47.2188,-44.7198,-0.9237,-0.3358,-4.8453,-2.5556,Delta
101,95049,-54.7500,-45.8120,-2.4663,-1.7267,-7.3429,-2.8225,Delta
102,95050,-61.7344,-47.3058,-4.1663,-3.0363,-9.1155,-2.8672,Delta
103,95053,-68.3906,-49.1306,-5.9273,-4.2112,-10.3066,-2.8147,Delta
104,95057,-74.7344,-51.2244,-7.6780,-5.2263,-11.0487,-2.7209,Delta
105,95061,-80.2188,-53.4867,-9.3190,-6.0313,-11.3035,-2.5330,Delta
106,95067,-83.4375,-55.7133,-10.6588,-6.4971,-10.7478,-2.0790,Delta
107,95071,-84.5938,-57.7375,-11.5771,-6.5756,-9.4283,-1.4507,Delta
108,95073,-83.7344,-59.4143,-11.9953,-6.2585,-7.4756,-0.7296,Delta
109,95077,-81.6094,-60.6752,-11.9268,-5.6165,-5.2199,-0.0653,Delta
110,95081,-78.4844,-61.4810,-11.4120,-4.7280,-2.8900,0.5004,Delta
111,95088,-76.9063,-62.0040,-10.7045,-3.8478,-1.2549,0.6399,Delta
112,95089,-77.5469,-62.4538,-10.0534,-3.1833,-0.6753,0.3532,Delta
113,95093,-76.4375,-62.6950,-9.3067,-2.5465,-0.0836,0.3395,Delta
114,95097,-71.3438,-62.4254,-8.1636,-1.6496,1.4935,0.9298,Delta
115,95100,-61.7500,-61.3327,-6.3628,-0.2883,4.4096,2.0418,Delta
116,95110,-50.7656,-59.3911,-3.9843,1.4020,7.7855,3.0496,Delta
117,95110,-40.8594,-56.7793,-1.3064,3.1341,10.5898,3.5435,Delta
118,95112,-35.5313,-53.9426,1.1617,4.4611,11.5995,3.1464,Delta
119,95116,-33.2344,-51.1542,3.1755,5.2470,11.0286,2.3188,Delta
120,95120,-32.7344,-48.5584,4.6650,5.5278,9.4918,1.4559,Delta
121,95124,-27.4844,-45.7517,6.1418,5.8517,9.0782,1.5456,Delta
122,95133,-12.0156,-41.9286,8.4506,6.9724,11.8386,3.1824,Delta
123,95133,17.0625,-36.0930,12.4944,9.5756,18.9844,6.4027,Delta
124,95136,56.8906,-27.5878,18.6743,13.7939,29.6041,10.2693,Beta
125,95140,94.3281,-16.8965,26.1397,18.6251,39.4152,12.5775,Beta
126,95144,115.6719,-5.5683,33.0741,22.3753,43.3524,11.5967,Beta
127,95151,109.5156,4.0812,37.1662,23.1800,37.3557,6.5890,Beta
128,95151,76.9375,10.0679,36.8333,20.1151,21.5843,-1.0296,Theta
129,95155,25.6250,11.2449,31.6217,13.3814,-0.5606,-9.0599,Theta
130,95159,-33.4688,7.4808,22.2034,4.1105,-24.1048,-15.4772,Beta
131,95163,-91.2188,-0.5940,9.9226,-6.1886,-44.6606,-19.2366,Beta
132,95172,-135.7812,-11.4473,-3.1681,-15.6352,-57.9096,-19.4335,Beta
133,95174,-159.5937,-23.0888,-14.8848,-22.5361,-61.2711,-16.0938,Beta
134,95175,-160.9062,-33.5935,-23.4755,-25.8359,-54.6736,-10.1949,Beta
135,95178,-144.2500,-41.6071,-28.0714,-25.4008,-40.6209,-3.4076,Delta
136,95182,-120.4063,-46.7964,-29.0057,-22.1472,-23.8652,2.1893,Delta
137,95196,-98.0313,-49.5704,-27.3215,-17.4291,-8.7635,5.4620,Delta
138,95197,-84.5625,-50.9026,-24.4698,-12.7136,1.3713,5.9902,Delta
139,95197,-84.0000,-51.9917,-21.8900,-9.2058,4.9537,4.0930,Delta
140,95198,-92.9375,-53.6344,-20.3610,-7.3268,3.1956,1.1313,Delta
141,95202,-105.5313,-56.0681,-19.9502,-6.8111,-1.2064,-1.4935,Delta
142,95206,-113.9688,-58.8695,-20.0269,-6.8341,-4.8607,-2.5814,Delta
143,95210,-112.3125,-61.1762,-19.6097,-6.4100,-5.0774,-1.6393,Delta
144,95220,-101.1250,-62.2622,-18.0237,-4.9993,-1.5038,0.6360,Delta
145,95221,-84.0938,-61.7788,-15.0982,-2.5998,4.5014,3.1588,Delta
146,95221,-67.1563,-59.8982,-11.2317,0.2887,10.5505,4.8407,Delta
147,95226,-56.1250,-57.2490,-7.2292,2.8912,14.2401,4.9845,Delta
148,95231,-53.7188,-54.6158,-3.9234,4.5375,14.3031,3.6276,Delta
149,95242,-59.0000,-52.6251,-1.8431,4.9331,11.0192,1.4231,Delta
150,95242,-68.2813,-51.5373,-1.0496,4.2377,5.9139,-0.7176,Delta
151,95243,-77.7188,-51.2718,-1.2410,2.8941,0.7962,-2.1331,Delta
152,95245,-81.5313,-51.2856,-1.6861,1.6471,-2.1494,-2.1601,Delta
153,95250,-78.0625,-50.9574,-1.6954,1.0755,-1.9916,-0.9381,Delta
154,95254,-66.3750,-49.6550,-0.6834,1.5748,1.4384,1.2110,Delta
155,95257,-50.0000,-47.1007,1.4698,3.0670,6.8266,3.4241,Delta
156,95261,-35.3438,-43.5681,4.2916,4.9670,11.7397,4.6466,Delta
157,95272,-26.7500,-39.6563,7.0504,6.5645,14.2175,4.4431,Delta
158,95272,-25.7500,-36.0271,9.0726,7.3205,13.4773,3.0202,Delta
159,95272,-29.7188,-33.0590,10.0912,7.1454,10.3657,1.1968,Delta
160,95276,-34.4375,-30.7472,10.2818,6.3507,6.6225,-0.1688,Delta
161,95280,-39.0625,-29.0182,9.8603,5.2200,3.1765,-0.9768,Delta
162,95290,-45.6875,-27.9755,8.8204,3.7815,-0.2373,-1.6947,Delta
163,95291,-52.9688,-27.6021,7.2816,2.1695,-3.3604,-2.2422,Delta
164,95292,-55.9375,-27.4776,5.7623,0.8560,-4.8173,-1.9730,Delta
165,95296,-52.8750,-27.0858,4.7941,0.2484,-3.8820,-0.8238,Delta
166,95300,-47.3125,-26.2517,4.4645,0.2927,-1.5525,0.4212,Delta
167,95313,-45.8125,-25.3530,4.2717,0.4217,-0.1162,0.6876,Delta
168,95313,-52.0625,-25.0275,3.5272,0.0012,-1.2510,-0.3760,Delta
169,95314,-65.2813,-25.7823,1.7932,-1.2719,-5.0057,-2.2604,Delta
170,95315,-80.0938,-27.6333,-0.7839,-3.1315,-9.6199,-3.8517,Delta
171,95319,-91.2500,-30.1663,-3.6361,-4.9846,-12.9545,-4.3386,Delta
172,95323,-96.7813,-32.8499,-6.1689,-6.3171,-13.8931,-3.6949,Delta
173,95328,-96.5000,-35.1925,-7.9289,-6.8239,-12.3061,-2.2795,Delta
174,95331,-90.2500,-36.7418,-8.5779,-6.3434,-8.4414,-0.3945,Delta
175,95339,-77.7500,-37.0707,-7.8588,-4.8004,-2.6154,1.7885,Delta
176,95339,-61.8125,-36.0271,-5.8412,-2.4129,4.0499,3.7475,Delta
177,95344,-45.8438,-33.7531,-2.8873,0.3852,10.1369,5.0001,Delta
178,95347,-33.0000,-30.6339,0.4498,3.0672,14.3771,5.2717,Delta
179,95361,-24.9688,-27.1530,3.6089,5.1865,16.1146,4.6201,Delta
180,95362,-20.0313,-23.6036,6.3204,6.6272,15.9054,3.6117,Delta
181,95362,-15.9375,-20.0655,8.5818,7.5222,14.8053,2.7749,Delta
182,95362,-13.2812,-16.6586,10.3484,7.9320,13.1511,2.0537,Delta
183,95366,-13.2187,-13.5838,11.4971,7.8269,10.8293,1.2384,Delta
184,95370,-15.9062,-11.0335,11.9333,7.2001,7.8465,0.3054,Theta
185,95375,-17.7813,-8.8898,11.9003,6.3449,5.2405,-0.2126,Theta
186,95386,-14.9062,-6.7264,11.9211,5.7538,4.3791,0.1767,Theta
187,95389,-9.5625,-4.3470,12.1908,5.5409,4.9111,0.9233,Theta
188,95389,-5.7500,-1.9014,12.5116,5.4515,5.4621,1.2579,Theta
189,95389,-7.2187,0.1712,12.4175,5.0360,4.5418,0.6749,Theta
190,95393,-14.4062,1.4424,11.5312,4.0004,1.6978,-0.6531,Theta
191,95406,-25.3281,1.6910,9.7529,2.3453,-2.4478,-2.1652,Theta
192,95407,-38.0938,0.8737,7.1837,0.2447,-6.9969,-3.4437,Theta
193,95407,-51.2969,-0.9328,4.0309,-2.0667,-11.2015,-4.3051,Beta
194,95409,-62.5781,-3.4666,0.6591,-4.2544,-14.2130,-4.5346,Beta
195,95413,-68.2344,-6.1914,-2.3431,-5.8345,-14.9023,-3.7991,Beta
196,95418,-66.5938,-8.4909,-4.4012,-6.4103,-12.7306,-2.1436,Beta
197,95429,-59.2344,-9.9418,-5.2370,-5.9057,-8.3058,-0.1118,Delta
198,95429,-50.9063,-10.5525,-5.0664,-4.6884,-3.4078,1.4168,Delta
199,95430,-46.1406,-10.6997,-4.4509,-3.3638,0.0601,1.8415,Delta
200,95432,-45.1719,-10.7406,-3.8361,-2.3256,1.5468,1.4117,Delta
201,95436,-48.2188,-11.0128,-3.5725,-1.8185,1.0610,0.4317,Delta
202,95441,-54.2031,-11.7305,-3.8238,-1.8852,-0.8452,-0.7096,Delta
203,95453,-61.8906,-12.9849,-4.5989,-2.4310,-3.4578,-1.7215,Delta
204,95453,-67.0000,-14.5087,-5.5327,-3.0471,-5.2891,-2.0052,Delta
205,95453,-66.3125,-15.8008,-6.0778,-3.2329,-5.0563,-1.2655,Delta
206,95456,-59.5938,-16.3934,-5.8129,-2.6832,-2.5139,0.2259,Delta
207,95460,-50.7188,-16.1837,-4.7665,-1.5428,1.0881,1.6266,Delta
208,95464,-45.3750,-15.5430,-3.4546,-0.3640,3.6498,2.0388,Delta
209,95469,-44.5938,-14.8880,-2.3535,0.4341,4.2861,1.5130,Delta
210,95482,-48.8125,-14.6275,-1.8517,0.5787,2.8211,0.3193,Delta
211,95483,-54.4688,-14.8376,-1.9265,0.2063,0.4188,-0.7724,Delta
212,95483,-57.8281,-15.2819,-2.2349,-0.2892,-1.3874,-1.1519,Delta
213,95484,-54.4063,-15.3840,-2.1373,-0.3164,-0.9370,-0.3407,Delta
214,95487,-41.7656,-14.4301,-0.9575,0.6527,2.7108,1.6687,Delta
215,95491,-22.4531,-11.9892,1.5744,2.7001,8.7889,4.1107,Delta
216,95504,-4.0625,-8.2944,4.9929,5.2436,14.6806,5.6542,Beta
217,95505,6.6250,-4.1075,8.3621,7.3832,17.6735,5.4477,Beta
218,95505,4.5000,-0.5264,10.5522,8.1938,15.8262,3.2434,Beta
219,95507,-9.1250,1.5728,10.8527,7.2703,9.4388,-0.1286,Theta
220,95511,-26.3750,2.0482,9.4335,5.0490,1.3169,-3.0349,Theta
221,95515,-38.2031,1.5097,7.2164,2.5508,-4.9017,-4.1103,Theta
222,95525,-41.4375,0.7628,5.1705,0.6571,-7.3287,-3.3211,Beta
223,95525,-38.3594,0.3434,3.8212,-0.2953,-6.4013,-1.6212,Beta
224,95527,-35.8125,0.1746,2.9684,-0.6692,-4.5419,-0.4321,Beta
225,95530,-34.5469,0.1261,2.3909,-0.7703,-2.9382,0.0862,Beta
226,95534,-30.0156,0.4510,2.3050,-0.4490,-0.7701,0.7718,Theta
227,95548,-19.7813,1.5736,3.0700,0.5545,2.8280,2.0429,Theta
228,95551,-8.4062,3.5020,4.5530,2.0175,6.7614,3.1306,Beta
229,95551,-2.6250,5.6948,6.0718,3.2655,8.8034,3.0352,Beta
230,95552,-5.1406,7.4473,6.8886,3.6876,7.6923,1.6249,Beta
231,95554,-11.8594,8.4617,6.8127,3.2619,4.4860,-0.0993,Delta
232,95558,-16.5313,8.9805,6.2466,2.4941,1.5032,-0.9961,Delta
233,95561,-15.9375,9.4831,5.7711,1.9563,0.3973,-0.7165,Delta
234,95572,-12.0625,10.2374,5.6492,1.8359,0.9807,0.1152,Delta
235,95573,-6.9844,11.3141,5.8946,2.0689,2.4093,0.9179,Delta
236,95574,-1.9531,12.6744,6.4057,2.5040,3.9370,1.4332,Delta
237,95577,2.2969,14.2235,7.0398,2.9830,5.0890,1.6157,Delta
238,95581,5.7500,15.8753,7.6875,3.4059,5.7420,1.5702,Delta
239,95585,6.6875,17.4124,8.1213,3.5818,5.4609,1.1530,Delta
240,95591,3.8281,18.5365,8.0667,3.3069,3.8740,0.2902,Delta
241,95594,1.7656,19.3541,7.7167,2.8298,2.2443,-0.2372,Delta
242,95597,2.9531,20.1608,7.4280,2.5003,1.6804,-0.0760,Delta
243,95601,8.6641,21.3245,7.5732,2.6237,2.7751,0.7717,Delta
244,95607,16.0547,22.9431,8.1816,3.1478,4.7626,1.6731,Delta
245,95609,21.6250,24.8193,8.9705,3.7535,6.3201,2.0197,Delta
246,95618,25.6328,26.7968,9.7484,4.2614,7.1016,1.9391,Delta
247,95618,27.1094,28.6571,10.2905,4.4920,6.8290,1.4643,Delta
248,95620,26.0703,30.2057,10.4346,4.3490,5.5475,0.7385,Delta
249,95624,20.5391,31.1081,9.8992,3.6386,2.8815,-0.4040,Delta
250,95628,8.7969,30.9259,8.3400,2.1361,-1.5761,-2.0859,Delta
251,95640,-4.3359,29.6596,5.9264,0.1101,-6.4501,-3.4704,Delta
252,95641,-11.6094,27.9005,3.4131,-1.6938,-9.2660,-3.5142,Delta
253,95642,-8.2969,26.5628,1.7650,-2.4665,-8.1574,-1.8506,Delta
254,95643,3.4687,26.2914,1.5051,-1.9231,-3.5477,0.6952,Delta
255,95647,18.1484,27.2121,2.5308,-0.3751,2.4732,2.9142,Delta
256,95651,28.9219,28.8815,4.1659,1.4173,7.1579,3.7725,Delta
257,95655,32.6094,30.6432,5.6270,2.7333,8.8583,3.1273,Delta
258,95665,29.7500,31.9532,6.3791,3.1948,7.5266,1.5480,Delta
259,95665,23.1563,32.5537,6.2741,2.8253,4.2969,-0.1598,Delta
260,95667,17.1172,32.5632,5.5794,2.0066,0.9671,-1.2235,Delta
261,95671,13.3906,32.2315,4.6530,1.1279,-1.3405,-1.4944,Delta
262,95675,12.1875,31.7999,3.7834,0.4463,-2.3055,-1.1917,Delta
263,95685,13.5000,31.4839,3.1839,0.1096,-1.9940,-0.5496,Delta
264,95685,15.0547,31.2915,2.8160,0.0180,-1.2043,-0.0395,Delta
265,95686,16.8359,31.2283,2.6460,0.0980,-0.2887,0.3051,Delta
266,95690,17.8438,31.2181,2.5607,0.2200,0.3444,0.3965,Delta
267,95695,17.8438,31.1734,2.4544,0.2846,0.5245,0.2749,Delta
268,95700,17.0977,31.0371,2.2711,0.2539,0.3205,0.0566,Delta
269,95705,16.5938,30.8386,2.0540,0.1848,0.0711,-0.0685,Delta
270,95711,16.3477,30.6058,1.8372,0.1153,-0.0928,-0.0996,Delta
271,95711,16.1055,30.3427,1.6245,0.0488,-0.2033,-0.1041,Delta
272,95724,16.1055,30.0725,1.4391,0.0059,-0.2157,-0.0690,Delta
273,95725,16.1094,29.7965,1.2772,-0.0203,-0.1904,-0.0390,Delta
274,95726,16.8594,29.5765,1.1990,0.0222,0.0434,0.0837,Delta
275,95726,16.8477,29.3447,1.1197,0.0463,0.1179,0.0733,Delta
276,95730,16.5820,29.0821,1.0194,0.0385,0.0582,0.0093,Delta
277,95742,16.5684,28.8127,0.9266,0.0310,0.0255,-0.0062,Delta
278,95743,17.0547,28.5782,0.8833,0.0623,0.1398,0.0612,Delta
279,95743,16.7832,28.3135,0.8132,0.0578,0.0898,0.0133,Delta
280,95745,16.5098,28.0219,0.7243,0.0314,-0.0127,-0.0372,Delta
281,95749,16.7363,27.7473,0.6652,0.0312,0.0126,-0.0010,Delta
282,95757,16.7090,27.4676,0.6078,0.0276,0.0128,0.0014,Delta
283,95759,16.9287,27.2036,0.5735,0.0410,0.0695,0.0319,Delta
284,95761,16.8936,26.9334,0.5355,0.0446,0.0712,0.0210,Delta
285,95767,17.1074,26.6781,0.5163,0.0613,0.1192,0.0418,Delta
286,95773,16.8174,26.3954,0.4688,0.0464,0.0433,-0.0096,Delta
287,95773,17.0264,26.1292,0.4434,0.0512,0.0661,0.0144,Delta
288,95776,17.2310,25.8777,0.4344,0.0676,0.1199,0.0419,Delta
289,95791,17.1812,25.6190,0.4162,0.0707,0.1099,0.0250,Delta
290,95791,17.1290,25.3538,0.3913,0.0653,0.0778,0.0064,Delta
291,95791,17.3250,25.1033,0.3828,0.0742,0.1082,0.0284,Delta
292,95792,17.5166,24.8660,0.3864,0.0909,0.1556,0.0489,Delta
293,95804,17.4526,24.6200,0.3772,0.0921,0.1348,0.0265,Delta
294,95805,17.3896,24.3665,0.3587,0.0838,0.0927,0.0050,Delta
295,95805,17.3213,24.1061,0.3331,0.0697,0.0472,-0.0098,Delta
296,95808,17.5029,23.8603,0.3240,0.0718,0.0730,0.0165,Delta
297,95811,17.4297,23.6069,0.3055,0.0642,0.0530,0.0049,Delta
298,95815,17.3516,23.3468,0.2801,0.0507,0.0181,-0.0096,Delta
299,95827,17.7773,23.1219,0.2925,0.0728,0.1164,0.0507,Delta
300,95828,17.9434,22.9077,0.3110,0.0958,0.1802,0.0662,Delta
301,95828,17.8535,22.6824,0.3119,0.0986,0.1551,0.0334,Delta
302,95831,17.7676,22.4478,0.3002,0.0892,0.1027,0.0046,Delta
303,95835,18.1699,22.2448,0.3205,0.1103,0.1773,0.0544,Delta
304,95848,18.0762,22.0301,0.3224,0.1110,0.1555,0.0307,Delta
305,95848,18.2266,21.8249,0.3311,0.1180,0.1670,0.0372,Delta
306,95848,17.8711,21.5874,0.3020,0.0895,0.0544,-0.0240,Delta
307,95850,18.0156,21.3619,0.2875,0.0792,0.0454,-0.0056,Delta
308,95860,18.1641,21.1476,0.2845,0.0806,0.0757,0.0200,Delta
309,95862,18.5508,20.9631,0.3103,0.1076,0.1793,0.0711,Delta
310,95863,18.1758,20.7435,0.2926,0.0904,0.0926,0.0027,Delta
311,95866,18.3125,20.5343,0.2861,0.0862,0.0858,0.0097,Delta
312,95870,18.6875,20.3540,0.3083,0.1086,0.1717,0.0597,Delta
313,95879,18.3125,20.1389,0.2879,0.0885,0.0797,-0.0049,Delta
314,95879,18.4336,19.9332,0.2781,0.0815,0.0686,0.0031,Delta
315,95882,18.8047,19.7564,0.2977,0.1020,0.1542,0.0550,Delta
316,95885,18.4141,19.5438,0.2742,0.0799,0.0603,-0.0099,Delta
317,95889,18.5313,19.3406,0.2621,0.0718,0.0500,-0.0007,Delta
318,95898,18.8867,19.1656,0.2788,0.0908,0.1342,0.0505,Delta
319,95898,18.4922,18.9549,0.2531,0.0680,0.0415,-0.0135,Delta
320,95901,19.0977,18.7939,0.2811,0.0975,0.1639,0.0651,Delta
321,95905,18.9375,18.6152,0.2837,0.0988,0.1432,0.0331,Delta
322,95909,19.2813,18.4620,0.3101,0.1216,0.2082,0.0644,Delta
323,95913,19.1328,18.2916,0.3120,0.1185,0.1642,0.0267,Delta
324,95921,18.9688,18.1049,0.2942,0.0987,0.0831,-0.0115,Delta
325,95921,19.3047,17.9443,0.3046,0.1079,0.1324,0.0330,Delta
326,95925,19.1250,17.7655,0.2920,0.0948,0.0846,0.0039,Delta
327,95929,18.9531,17.5711,0.2632,0.0692,0.0106,-0.0261,Delta
328,95932,19.0391,17.3840,0.2447,0.0570,0.0057,-0.0100,Delta
329,95945,19.6016,17.2424,0.2744,0.0902,0.1528,0.0744,Delta
330,95945,19.1719,17.0610,0.2556,0.0734,0.0706,0.0027,Delta
331,95945,19.2344,16.8841,0.2426,0.0646,0.0486,-0.0012,Delta
332,95948,19.2969,16.7116,0.2342,0.0610,0.0509,0.0073,Delta
333,95952,19.3594,16.5432,0.2294,0.0609,0.0616,0.0149,Delta
